Date,Open,High,Low,Close,Adj Close,Volume
24/06/2018,0.203188,0.203222,0.178151,0.193633,0.193633,43348500
25/06/2018,0.193652,0.200452,0.188813,0.197753,0.197753,38729400
26/06/2018,0.196489,0.197847,0.184877,0.186484,0.186484,31190300
27/06/2018,0.184523,0.193435,0.183107,0.189633,0.189633,34514300
28/06/2018,0.18875,0.192287,0.177071,0.178951,0.178951,32294900
29/06/2018,0.179309,0.187823,0.173148,0.18671,0.18671,39542800
30/06/2018,0.186915,0.199292,0.186915,0.193425,0.193425,47083800
1/07/2018,0.19285,0.20131,0.190414,0.198573,0.198573,41380400
2/07/2018,0.200196,0.21382,0.192646,0.213151,0.213151,49362900
3/07/2018,0.211672,0.218992,0.204606,0.206315,0.206315,49012200
4/07/2018,0.205776,0.216548,0.203362,0.209735,0.209735,33301500
5/07/2018,0.210213,0.214188,0.199528,0.202978,0.202978,37009800
6/07/2018,0.203001,0.209693,0.198991,0.206381,0.206381,37627900
7/07/2018,0.206104,0.209379,0.200413,0.20845,0.20845,36238600
8/07/2018,0.208953,0.216208,0.207633,0.209783,0.209783,40958600
9/07/2018,0.210637,0.213485,0.206826,0.207929,0.207929,38649000
10/07/2018,0.206595,0.207311,0.191603,0.191889,0.191889,36923400
11/07/2018,0.191825,0.194245,0.18468,0.189504,0.189504,33530700
12/07/2018,0.190298,0.19043,0.179743,0.185719,0.185719,35633800
13/07/2018,0.185986,0.204272,0.183816,0.204272,0.204272,49954700
14/07/2018,0.203789,0.211421,0.197084,0.207877,0.207877,43684700
15/07/2018,0.208031,0.222303,0.205996,0.219871,0.219871,51388000
16/07/2018,0.219478,0.237928,0.21746,0.237928,0.237928,51377800
17/07/2018,0.238004,0.253499,0.228724,0.252967,0.252967,60804000
18/07/2018,0.253249,0.318009,0.251712,0.2984,0.2984,238660000
19/07/2018,0.296818,0.316271,0.280489,0.302513,0.302513,190768000
20/07/2018,0.302421,0.303164,0.267198,0.271492,0.271492,132780000
21/07/2018,0.27038,0.294494,0.259513,0.292259,0.292259,103169000
22/07/2018,0.290739,0.30446,0.281031,0.283534,0.283534,98754600
23/07/2018,0.283119,0.29884,0.281608,0.284384,0.284384,91948800
24/07/2018,0.284922,0.304381,0.280882,0.301456,0.301456,107505000
25/07/2018,0.297336,0.348664,0.294358,0.331706,0.331706,180428000
26/07/2018,0.332303,0.348363,0.29846,0.309552,0.309552,173806000
27/07/2018,0.308283,0.322608,0.296822,0.316882,0.316882,109249000
28/07/2018,0.317788,0.323001,0.31102,0.315229,0.315229,72393904
29/07/2018,0.316401,0.318472,0.305141,0.308399,0.308399,69073696
30/07/2018,0.308645,0.308645,0.281066,0.295923,0.295923,87990000
31/07/2018,0.295472,0.295472,0.267827,0.278009,0.278009,90072600
1/08/2018,0.278127,0.282404,0.265441,0.276268,0.276268,78075400
2/08/2018,0.276901,0.2814,0.261192,0.261192,0.261192,64773900
3/08/2018,0.261763,0.268918,0.246723,0.258956,0.258956,78914000
4/08/2018,0.257761,0.261043,0.236501,0.240724,0.240724,62650500
5/08/2018,0.241105,0.246923,0.236088,0.244218,0.244218,50833600
6/08/2018,0.245017,0.248388,0.232036,0.234705,0.234705,52688700
7/08/2018,0.234099,0.245397,0.228993,0.230672,0.230672,64467600
8/08/2018,0.230009,0.230009,0.195939,0.201351,0.201351,68469800
9/08/2018,0.201653,0.225776,0.198731,0.221435,0.221435,75813300
10/08/2018,0.221085,0.236659,0.215707,0.22543,0.22543,110186000
11/08/2018,0.224944,0.22508,0.202855,0.217665,0.217665,87523800
12/08/2018,0.218225,0.228675,0.216451,0.223601,0.223601,69114300
13/08/2018,0.2234,0.243137,0.219708,0.223559,0.223559,100249000
14/08/2018,0.222632,0.222632,0.200299,0.216706,0.216706,95074200
15/08/2018,0.218285,0.231441,0.216437,0.216954,0.216954,98247500
16/08/2018,0.215885,0.221991,0.209144,0.216032,0.216032,66979600
17/08/2018,0.215555,0.239695,0.215364,0.23812,0.23812,85576200
18/08/2018,0.239124,0.24527,0.2206,0.224235,0.224235,73536300
19/08/2018,0.223625,0.23174,0.217247,0.222723,0.222723,58941500
20/08/2018,0.23002,0.235864,0.213588,0.216457,0.216457,56916000
21/08/2018,0.217877,0.227195,0.210588,0.214708,0.214708,57619800
22/08/2018,0.219224,0.238291,0.205148,0.206896,0.206896,57593700
23/08/2018,0.213642,0.222162,0.206242,0.222162,0.222162,50407300
24/08/2018,0.214871,0.22547,0.211178,0.219806,0.219806,46565700
25/08/2018,0.221346,0.225616,0.21394,0.217795,0.217795,37623300
26/08/2018,0.223861,0.223861,0.210491,0.21484,0.21484,41019000
27/08/2018,0.213918,0.225866,0.213592,0.225437,0.225437,50597200
28/08/2018,0.224904,0.236806,0.223158,0.234745,0.234745,66510100
29/08/2018,0.234244,0.236947,0.223817,0.226211,0.226211,59888100
30/08/2018,0.226858,0.229215,0.213161,0.220902,0.220902,52981700
31/08/2018,0.221804,0.223162,0.214964,0.222076,0.222076,49383600
1/09/2018,0.222309,0.233377,0.221976,0.229722,0.229722,57559200
2/09/2018,0.229713,0.236545,0.221468,0.224744,0.224744,44368300
3/09/2018,0.224672,0.232219,0.219134,0.225325,0.225325,47867700
4/09/2018,0.221801,0.237544,0.22012,0.231268,0.231268,52972600
5/09/2018,0.231953,0.233226,0.207437,0.207437,0.207437,69435700
6/09/2018,0.205908,0.207484,0.195504,0.207484,0.207484,71466100
7/09/2018,0.206841,0.211473,0.200723,0.207662,0.207662,60828100
8/09/2018,0.207994,0.211684,0.19317,0.194437,0.194437,52306100
9/09/2018,0.194291,0.202852,0.190194,0.192781,0.192781,54678800
10/09/2018,0.191119,0.195371,0.188329,0.190839,0.190839,51759700
11/09/2018,0.19148,0.206932,0.185084,0.201071,0.201071,77490400
12/09/2018,0.201214,0.207005,0.186384,0.198293,0.198293,81499500
13/09/2018,0.197915,0.211132,0.197915,0.207806,0.207806,68042900
14/09/2018,0.206978,0.209517,0.198855,0.201743,0.201743,49018400
15/09/2018,0.201211,0.205633,0.200511,0.203202,0.203202,37685700
16/09/2018,0.203086,0.208485,0.199028,0.20651,0.20651,41913100
17/09/2018,0.206108,0.208782,0.19563,0.196827,0.196827,42653700
